"No","設置場所","市区町村","町目番地","経度","緯度","分類"
"106","ベンの家","神戸市中央区","北野町2-3-21","135.1915335","34.7009289","KOBE Free WiFi アクセスポイント"
"107","神戸ファッション美術館","神戸市東灘区","向洋町中2-9-1","135.270184","34.688027","KOBE Free WiFi アクセスポイント"
"108","天覧台・TENRAN CAF?","神戸市灘区","六甲山町一ケ谷1-32","135.2368845","34.751943","KOBE Free WiFi アクセスポイント"
"109","六甲高山植物園","神戸市灘区","六甲山町北六甲4512?150","135.2405025","34.761861","KOBE Free WiFi アクセスポイント"
"110","六甲オルゴールミュージアム","神戸市灘区","六甲山町北六甲4512-145","135.238392","34.761672","KOBE Free WiFi アクセスポイント"
"111","六甲山カンツリーハウス","神戸市灘区","六甲山町北六甲4512-98","135.2422755","34.766667","KOBE Free WiFi アクセスポイント"
"112","六甲ガーデンテラス（１）","神戸市灘区","六甲山町五介山1877-9","135.247734","34.764418","KOBE Free WiFi アクセスポイント"
"113","六甲ガーデンテラス（２）","神戸市灘区","六甲山町五介山1877-9","135.246608","34.763299","KOBE Free WiFi アクセスポイント"
"114","自然体感展望台 六甲枝垂れ","神戸市灘区","六甲山町五介山1877-9","135.246531","34.764367","KOBE Free WiFi アクセスポイント"
"115","神戸市立須磨水族園","神戸市須磨区","若宮町1-3-5","135.127673","34.643978","KOBE Free WiFi アクセスポイント"
"116","FREE‘S　nail","神戸市中央区","下山手通2-12-6","135.1895006","34.6932298","KOBE Free WiFi アクセスポイント"
"117","神戸三宮高架商店街（ピアザKOBE１-1）","神戸市中央区","北長狭通","135.19184","34.692198","KOBE Free WiFi アクセスポイント"
"118","神戸三宮高架商店街（ピアザKOBE１-2）","神戸市中央区","北長狭通","135.192134","34.692369","KOBE Free WiFi アクセスポイント"
"119","神戸三宮高架商店街（ピアザKOBE１-3）","神戸市中央区","北長狭通","135.192386","34.692523","KOBE Free WiFi アクセスポイント"
"120","神戸三宮高架商店街（ピアザKOBE２-1）","神戸市中央区","北長狭通","135.190188","34.691215","KOBE Free WiFi アクセスポイント"
"121","神戸三宮高架商店街（ピアザKOBE２-2）","神戸市中央区","北長狭通","135.190442","34.691368","KOBE Free WiFi アクセスポイント"
